VALUE_TIME;t_2m;precip_1h;global_rad;wind_speed_10m
2011-12-31 00:00:00;2,7;0,07;0;22
2011-12-31 01:00:00;2,5;0,03;0;20,5
2011-12-31 02:00:00;2,2;0,03;0;19
2011-12-31 03:00:00;1,9;0,03;0;17,5
2011-12-31 04:00:00;1,6;0;0;16
2011-12-31 05:00:00;1,2;0;0;14,5
2011-12-31 06:00:00;0,9;0;0;13
2011-12-31 07:00:00;0,8;0;0;12,7
2011-12-31 08:00:00;0,8;0;23,3;12,3
2011-12-31 09:00:00;0,8;0;80,3;11,9
2011-12-31 10:00:00;1,3;0;127,9;12,3
2011-12-31 11:00:00;1,8;0;139,8;12,7
2011-12-31 12:00:00;2,4;0;113,6;13,1
2011-12-31 13:00:00;2,5;0;68,5;11,7
2011-12-31 14:00:00;2,7;0;20,6;10,3
2011-12-31 15:00:00;2,8;0;0;9
2011-12-31 16:00:00;2,8;0;0;9,7
2011-12-31 17:00:00;2,7;0;0;10,4
2011-12-31 18:00:00;2,7;0;0;11,1
2011-12-31 19:00:00;2,7;0;0;11,5
2011-12-31 20:00:00;2,8;0;0;12
2011-12-31 21:00:00;2,9;0;0;12,5
2011-12-31 22:00:00;3;0,05;0;12,4
2011-12-31 23:00:00;3,1;0,05;0;12,3
2012-01-01 00:00:00;3,3;0,05;0;12,2
2012-01-01 01:00:00;3,2;0,02;0;12
2012-01-01 02:00:00;3,1;0,02;0;11,7
2012-01-01 03:00:00;3,1;0,02;0;11,4
2012-01-01 04:00:00;3,7;0,02;0;11,9
2012-01-01 05:00:00;4,3;0,02;0;12,3
2012-01-01 06:00:00;4,9;0,02;0;12,7
2012-01-01 07:00:00;5,6;0,03;0;14,1
2012-01-01 08:00:00;6,4;0,03;4,6;15,5
2012-01-01 09:00:00;7,2;0,03;14,5;17
2012-01-01 10:00:00;7,7;0,18;21,3;18,2
2012-01-01 11:00:00;8,3;0,18;22;19,4
2012-01-01 12:00:00;8,9;0,18;17,5;20,6
2012-01-01 13:00:00;9,2;0,14;10,2;20
2012-01-01 14:00:00;9,6;0,14;3;19,3
2012-01-01 15:00:00;10;0,14;0;18,7
2012-01-01 16:00:00;10,1;0,03;0;17,7
2012-01-01 17:00:00;10,2;0,03;0;16,7
2012-01-01 18:00:00;10,4;0,03;0;15,7
2012-01-01 19:00:00;10,4;0,01;0;16,9
2012-01-01 20:00:00;10,5;0,01;0;18
2012-01-01 21:00:00;10,5;0,01;0;19,1
2012-01-01 22:00:00;10,6;0,25;0;21,5
2012-01-01 23:00:00;10,6;0,25;0;23,8
2012-01-02 00:00:00;10,7;0,25;0;26,2
2012-01-02 01:00:00;11;0,16;0;28,1
2012-01-02 02:00:00;11,3;0,16;0;29,9
2012-01-02 03:00:00;11,6;0,16;0;31,8
2012-01-02 04:00:00;11,7;0,24;0;30
2012-01-02 05:00:00;11,7;0,24;0;28,2
2012-01-02 06:00:00;11,8;0,24;0;26,4
2012-01-02 07:00:00;11,4;0,38;0;24,5
2012-01-02 08:00:00;11,1;0,38;1,4;22,6
2012-01-02 09:00:00;10,8;0,38;3,8;20,7
2012-01-02 10:00:00;10,2;1,24;4,7;19,8
2012-01-02 11:00:00;9,6;1,24;5,1;18,9
2012-01-02 12:00:00;9;1,24;5,7;18,1
2012-01-02 13:00:00;8,8;0,6;4,6;17,2
2012-01-02 14:00:00;8,5;0,6;1,6;16,4
2012-01-02 15:00:00;8,3;0,6;0;15,6
2012-01-02 16:00:00;7,8;0,21;0;15,1
2012-01-02 17:00:00;7,3;0,21;0;14,5
2012-01-02 18:00:00;6,9;0,21;0;13,9
2012-01-02 19:00:00;6,5;0;0;15,3
2012-01-02 20:00:00;6,1;0;0;16,6
2012-01-02 21:00:00;5,7;0;0;17,9
2012-01-02 22:00:00;5,5;0;0;18,7
2012-01-02 23:00:00;5,2;0;0;19,5
2012-01-03 00:00:00;5;0;0;20,3
2012-01-03 01:00:00;4,6;0;0;19,8
2012-01-03 02:00:00;4,3;0;0;19,2
2012-01-03 03:00:00;3,9;0;0;18,7
2012-01-03 04:00:00;3,7;0;0;19,3
2012-01-03 05:00:00;3,5;0;0;20
2012-01-03 06:00:00;3,4;0;0;20,7
2012-01-03 07:00:00;3,6;0;0;22,3
2012-01-03 08:00:00;3,8;0;25,8;23,9
2012-01-03 09:00:00;4;0;76,8;25,5
2012-01-03 10:00:00;4,5;0;105,6;27,6
2012-01-03 11:00:00;4,9;0;106;29,8
2012-01-03 12:00:00;5,4;0;85,8;31,9
2012-01-03 13:00:00;5,7;0,2;51,7;33,9
2012-01-03 14:00:00;6,1;0,2;15,9;35,9
2012-01-03 15:00:00;6,5;0,2;0;37,9
2012-01-03 16:00:00;6,9;0,36;0;39,1
2012-01-03 17:00:00;7,3;0,36;0;40,3
2012-01-03 18:00:00;7,7;0,36;0;41,6
2012-01-03 19:00:00;8,1;0,54;0;42
2012-01-03 20:00:00;8,5;0,54;0;42,5
2012-01-03 21:00:00;8,9;0,54;0;43
2012-01-03 22:00:00;8,4;0,26;0;40,9
2012-01-03 23:00:00;7,9;0,26;0;38,8
2012-01-04 00:00:00;7,4;0,26;0;36,7
2012-01-04 01:00:00;6,6;0;0;35
2012-01-04 02:00:00;5,8;0;0;33,3
2012-01-04 03:00:00;5,1;0;0;31,6
2012-01-04 04:00:00;5;0;0;31,1
2012-01-04 05:00:00;4,9;0;0;30,5
2012-01-04 06:00:00;4,8;0;0;30
2012-01-04 07:00:00;4,9;0;0;30,4
2012-01-04 08:00:00;4,9;0;28,3;30,7
2012-01-04 09:00:00;5;0;88,3;31,1
2012-01-04 10:00:00;5,2;0;129,3;33,1
2012-01-04 11:00:00;5,4;0;140,4;35
2012-01-04 12:00:00;5,6;0;124,4;37
2012-01-04 13:00:00;5,4;0,02;83,8;35,4
2012-01-04 14:00:00;5,2;0,02;27,9;33,7
2012-01-04 15:00:00;5;0,02;0;32,1
2012-01-04 16:00:00;4,8;0,01;0;32
2012-01-04 17:00:00;4,6;0,01;0;32
2012-01-04 18:00:00;4,4;0,01;0;32
2012-01-04 19:00:00;4,4;0,01;0;32,5
2012-01-04 20:00:00;4,4;0,01;0;33
2012-01-04 21:00:00;4,4;0,01;0;33,5
2012-01-04 22:00:00;4,3;0,16;0;33,7
2012-01-04 23:00:00;4,2;0,16;0;34
2012-01-05 00:00:00;4,1;0,16;0;34,3
2012-01-05 01:00:00;4,2;0,79;0;36
2012-01-05 02:00:00;4,2;0,79;0;37,8
2012-01-05 03:00:00;4,2;0,79;0;39,5
2012-01-05 04:00:00;4,4;1,1;0;40,3
2012-01-05 05:00:00;4,6;1,1;0;41
2012-01-05 06:00:00;4,8;1,1;0;41,7
2012-01-05 07:00:00;5,2;0,63;0;42,5
2012-01-05 08:00:00;5,7;0,63;6,7;43,2
2012-01-05 09:00:00;6,1;0,63;31,3;44
2012-01-05 10:00:00;5,8;0,45;64;42
2012-01-05 11:00:00;5,6;0,45;76,6;40,1
2012-01-05 12:00:00;5,3;0,45;60;38,1
2012-01-05 13:00:00;5,2;0,29;34,7;36,4
2012-01-05 14:00:00;5,2;0,29;10,7;34,8
2012-01-05 15:00:00;5,1;0,29;0;33,1
2012-01-05 16:00:00;4,9;0,22;0;34,6
2012-01-05 17:00:00;4,7;0,22;0;36,1
2012-01-05 18:00:00;4,5;0,22;0;37,6
2012-01-05 19:00:00;4,2;0,54;0;38,3
2012-01-05 20:00:00;3,8;0,54;0;39
2012-01-05 21:00:00;3,5;0,54;0;39,7
2012-01-05 22:00:00;3,2;0,77;0;39,6
2012-01-05 23:00:00;2,9;0,77;0;39,5
2012-01-06 00:00:00;2,6;0,77;0;39,5
2012-01-06 01:00:00;2,6;0,23;0;36,9
2012-01-06 02:00:00;2,6;0,23;0;34,3
2012-01-06 03:00:00;2,6;0,23;0;31,7
2012-01-06 04:00:00;2,4;0,02;0;30,6
2012-01-06 05:00:00;2,1;0,02;0;29,5
2012-01-06 06:00:00;1,9;0,02;0;28,3
2012-01-06 07:00:00;1,9;0,01;0;27,7
2012-01-06 08:00:00;1,9;0,01;17,5;27,2
2012-01-06 09:00:00;1,9;0,01;61,9;26,6
2012-01-06 10:00:00;2,2;0,04;104,1;27,5
2012-01-06 11:00:00;2,5;0,04;125,9;28,3
2012-01-06 12:00:00;2,8;0,04;120,3;29,2
2012-01-06 13:00:00;2,8;0,01;88;25,9
2012-01-06 14:00:00;2,7;0,01;31,4;22,7
2012-01-06 15:00:00;2,6;0,01;0;19,5
2012-01-06 16:00:00;2,4;0;0;18,6
2012-01-06 17:00:00;2,1;0;0;17,7
2012-01-06 18:00:00;1,8;0;0;16,8
2012-01-06 19:00:00;1,6;0,01;0;16,6
2012-01-06 20:00:00;1,4;0,01;0;16,4
2012-01-06 21:00:00;1,2;0,01;0;16,3
2012-01-06 22:00:00;1,2;0;0;16,6
2012-01-06 23:00:00;1,1;0;0;17
2012-01-07 00:00:00;1,1;0;0;17,4
2012-01-07 01:00:00;1,5;0;0;19,1
2012-01-07 02:00:00;2;0;0;20,8
2012-01-07 03:00:00;2,4;0;0;22,5
2012-01-07 04:00:00;2,5;0;0;22,6
2012-01-07 05:00:00;2,6;0;0;22,7
2012-01-07 06:00:00;2,7;0;0;22,9
2012-01-07 07:00:00;2,7;0,21;0;23,8
2012-01-07 08:00:00;2,8;0,21;4,7;24,7
2012-01-07 09:00:00;2,9;0,21;13,2;25,6
2012-01-07 10:00:00;3,4;0,58;17;25,7
2012-01-07 11:00:00;3,8;0,58;16,6;25,9
2012-01-07 12:00:00;4,3;0,58;13,9;26
2012-01-07 13:00:00;4,8;0,29;8,9;26,8
2012-01-07 14:00:00;5,2;0,29;3;27,6
2012-01-07 15:00:00;5,7;0,29;0;28,4
2012-01-07 16:00:00;5,5;0,15;0;27,7
2012-01-07 17:00:00;5,4;0,15;0;27
2012-01-07 18:00:00;5,2;0,15;0;26,4
2012-01-07 19:00:00;5;0,05;0;25,7
2012-01-07 20:00:00;4,8;0,05;0;25,1
2012-01-07 21:00:00;4,6;0,05;0;24,4
2012-01-07 22:00:00;4,5;0,03;0;24,3
2012-01-07 23:00:00;4,3;0,03;0;24,1
2012-01-08 00:00:00;4,2;0,03;0;24
2012-01-08 01:00:00;4,2;0,08;0;24,1
2012-01-08 02:00:00;4,3;0,08;0;24,2
2012-01-08 03:00:00;4,3;0,08;0;24,3
2012-01-08 04:00:00;4,4;0,05;0;23,6
2012-01-08 05:00:00;4,4;0,05;0;23
2012-01-08 06:00:00;4,4;0,05;0;22,3
2012-01-08 07:00:00;4,5;0,23;0;21,9
2012-01-08 08:00:00;4,5;0,23;2,8;21,5
2012-01-08 09:00:00;4,5;0,23;10;21,1
2012-01-08 10:00:00;4,5;0,19;16,9;20,3
